物料	物料号	产品名称	型号规格	型号规格（中）	物料特征	六位代码	供应商代码	供应商名称	基本单位	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	物流毛重	物流毛重单位	物流体积	物流体积单位	物流长度	物流宽度	物流高度	物流尺寸单位	SN标志	基本单位 /主包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	基本单位 /次包装箱	净重（公斤）	毛重 （公斤）	体积（立方	长度（米）	宽度（米	高度（米）	经销商价格	SRP	始销日期	停止日期	下载日期	产品组	业务部门	物料组1
27-5047-93	P27504793	VPCCW18FC/R（红）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7267		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-94	P27504794	VPCCW18FC/W（白）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7267		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-95	P27504795	VPCCW16EC/P（粉）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5729		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-96	P27504796	VPCCW16EC/R（红）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5729		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-97	P27504797	VPCCW16EC/W（白）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5729		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-98	P27504798	VPCCW15EC/BU（哑光黑）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4799		20010101	0	20110829	VAIO	CSM	VAIO
27-5047-99	P27504799	VPCCW15EC/WU（哑光白）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4799		20010101	0	20110829	VAIO	CSM	VAIO
27-5048-90	P27504890	VPCCW18FC/L（蓝）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7267		20010101	0	20110829	VAIO	CSM	VAIO
27-5048-91	P27504891	VPCCW16EC/L（蓝）	NOTBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	0.48	0.48	0.0006	0.1	0.15	0.02	3.898	KG	17059.875	CCM	48.5	33.5	10.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5729		20010101	0	20110829	VAIO	CSM	VAIO
27-5048-92	P27504892	VPCCW152C/WU	NOTEBOOK	笔记本电脑		SZSLBZ	2000089	鸿富泰精密电子（烟台）有限公司	台	1.25	1.25	0.006	0.2	0.1	0.3	3.898	KG	17059.875	CCM	48.5	10.5	33.5	CM	X	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4799		0	0	20110829	VAIO	CSM	VAIO
