物料|物料号|产品名称|型号规格|型号规格（中）|物料特征|六位代码|供应商代码|供应商名称|基本单位|净重（公斤）|毛重 （公斤）|体积（立方|长度（米）|宽度（米|高度（米）|物流毛重|物流毛重单位|物流体积|物流体积单位|物流长度|物流宽度|物流高度|物流尺寸单位|SN标志|基本单位 /主包装箱|净重（公斤）|毛重 （公斤）|体积（立方|长度（米）|宽度（米|高度（米）|基本单位 /次包装箱|净重（公斤）|毛重 （公斤）|体积（立方|长度（米）|宽度（米|高度（米）|经销商价格|SRP|始销日期|停止日期|下载日期|产品组|业务部门|物料组1
15-0310-00|P15031000|KE-MR50M1|50" Plasma TV|50"等离子彩电||ITAHYG|0000303700|上海索广映像有限公司|台|        53.000|        70.000|   1.028719926|      1.833000|      0.547000|      1.026000|        70.000|KG|   1028719.926|CCM|       183.300|        54.700|       102.600|CM|X|1|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    93215.00||00000000|00000000|20110709|PDP&AC|CSM|PDP
15-0311-00|P15031100|KE-MR42M1|42“ Plasma TV|42"等离子电视||ITAHYG|0000317200|Sony Electronics (Wuxi) Co., LTD|台|        45.000|        61.000|   0.862000000|      1.592000|      0.520000|      0.947000|        61.000|KG|    862000.000|CCM|       159.200|        52.000|        94.700|CM|X||         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    54920.00||20030311|00000000|20110709|PDP&AC|CSM|PDP
15-0312-00|P15031200|KE-MR50M1|50"Plasma TV|50"等离子彩电||ITAHYG|0000317200|Sony Electronics (Wuxi) Co., LTD|台|        53.000|        70.000|   1.028719926|      1.833000|      0.547000|      1.026000|        70.000|KG|   1028719.926|CCM|       183.300|        54.700|       102.600|CM|X||         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    93215.00||00000000|00000000|20110709|PDP&AC|CSM|PDP
17-4190-00|P17419000|P780/BC|P780/BC|17"彩色平面显示器||ITAHYG|0000303700|上海索广映像有限公司|台|        18.700|        22.000|   0.204170960|      0.058900|      0.056000|      0.061900|        22.000|KG|    204170.960|CCM|         5.890|         5.600|         6.190|CM|X||         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     2715.11||20010105|00000000|20110709||CNC|
17-4481-00|P17448100|KLV-MR30M1|30" LCD TV|30" 液晶电视||AZSAKZ|0000303700|上海索广映像有限公司|台|        27.000|        39.000|   0.531250000|      1.250000|      0.500000|      0.850000|        39.000|KG|    531250.000|CCM|       125.000|        50.000|        85.000|CM|X||         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    36308.00||20030807|00000000|20110709|LCD TV|CSM|30"
17-4482-00|P17448200|KLV-MR30M1|30"LCD TV|30"液晶电视||AZSAKZ|0000317200|Sony Electronics (Wuxi) Co., LTD|台|        27.000|        39.000|   0.531250000|      1.250000|      0.500000|      0.850000|        39.000|KG|    531250.000|CCM|       125.000|        50.000|        85.000|CM|X|1|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    36308.00||00000000|00000000|20110709|LCD TV|CSM|30"
17-4575-00|P17457500|KLV-SG21M1|21"LCD TV|21"液晶电视||AZSAKZ|0000317200|Sony Electronics (Wuxi) Co., LTD|台|        15.000|        15.000|   0.210987000|      0.850000|      0.394000|      0.630000|        15.000|KG|    210987.000|CCM|        85.000|        39.400|        63.000|CM|X|1|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     8360.00||00000000|00000000|20110709|LCD TV|CSM|LCD
17-4576-00|P17457600|KLV-HG26M1|26"LCD TV|26"液晶电视||AZSAKZ|0000303700|上海索广映像有限公司|台|        24.000|        24.000|   0.262640400|      1.010000|      0.394000|      0.660000|        24.000|KG|    262640.400|CCM|       101.000|        39.400|        66.000|CM|X|1|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    14600.00||00000000|00000000|20110709|LCD TV|CSM|LCD
17-4650-00|P17465000|KLV-MR32M2|32' LCD TV|32寸 液晶电视||AZSAKZ|0000303700|上海索广映像有限公司|台|        30.000|        39.000|   0.498960000|      0.132000|      0.045000|      0.084000|        39.000|KG|    498960.000|CCM|        13.200|         4.500|         8.400|CM|X||         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|     0|         0.000|         0.000|   0.000000000|      0.000000|      0.000000|      0.000000|    24400.00||20010101|00000000|20110709|LCD TV|CSM|LCD
